"Tool","degree_bin","frac_bin","total_count_norm_baseline","total_count_norm","delta_pp_total"
"Cuttlefish",4,"35%–40%",0.00350694562954367,0.00101003130469696,-0.25
"Cuttlefish",4,"40%–45%",0.000409570292501451,0.00026348642731225,-0.01
"Cuttlefish",4,"45%–50%",0.00088740230041981,0.000476784963707881,-0.04
"Cuttlefish",4,"50%–55%",0.000477832007918359,0.000426597072791262,-0.01
"Cuttlefish",4,"55%–60%",0.00348988020068944,0.00229609600943532,-0.12
"Cuttlefish",4,"60%–65%",0.00088740230041981,0.000746544877384709,-0.01
"Cuttlefish",4,"65%–70%",0.00136523430833817,0.00122332984109259,-0.01
"Cuttlefish",4,"70%–75%",0.00204785146250725,0.00158719205023808,-0.05
"Cuttlefish",4,"75%–80%",0.000375439434792996,0.00098493735923865,0.06
"Cuttlefish",4,"80%–85%",0.000759411584013106,0.00154327764568604,0.08
"Cuttlefish",4,"85%–90%",0.00199665517594457,0.00411540705516277,0.21
"Cuttlefish",4,"90%–95%",0.00766237755554797,0.00794223373755497,0.03
"Cuttlefish",4,"95%–100%",0.142965630226288,0.0894473685861444,-5.35
"Cuttlefish",5,"0%–5%",0.000537561008908154,0.00261604381402877,0.21
"Cuttlefish",5,"5%–10%",0.000563159152189495,0.00351315236416334,0.29
"Cuttlefish",5,"10%–15%",0.00026451414724052,0.00134252608201956,0.11
"Cuttlefish",5,"15%–20%",0.00011945800197959,0.000690083500103513,0.06
"Cuttlefish",5,"20%–25%",3.41308577084542e-05,0.000313674318228869,0.03
"Cuttlefish",5,"25%–30%",5.11962865626813e-05,0.000276033400041405,0.02
"Cuttlefish",5,"30%–35%",0.000315710433803201,0.000451691018249572,0.01
"Cuttlefish",5,"35%–40%",0.000298645004948974,0.00011919624092697,-0.02
"Cuttlefish",5,"45%–50%",0.000102392573125363,5.01878909166191e-05,-0.01
"Cuttlefish",5,"50%–55%",2.55981432813407e-05,1.88204590937322e-05,0
"Cuttlefish",5,"55%–60%",9.38598586982491e-05,6.27348636457739e-05,0
"Cuttlefish",5,"60%–65%",4.26635721355678e-05,2.50939454583095e-05,0
"Cuttlefish",5,"65%–70%",0.000110925287552476,3.13674318228869e-05,-0.01
"Cuttlefish",5,"70%–75%",9.38598586982491e-05,3.76409181874643e-05,-0.01
"Cuttlefish",5,"75%–80%",4.26635721355678e-05,6.90083500103513e-05,0
"Cuttlefish",5,"80%–85%",5.97290009897949e-05,4.39144045520417e-05,0
"Cuttlefish",5,"85%–90%",0.000127990716406703,9.41022954686608e-05,0
"Cuttlefish",5,"90%–95%",0.000290112290521861,0.000213298536395631,-0.01
"Cuttlefish",5,"95%–100%",0.00281579576094747,0.000941022954686608,-0.19
"Cuttlefish",6,"0%–5%",4.26635721355678e-05,0.000138016700020703,0.01
"Cuttlefish",6,"5%–10%",4.26635721355678e-05,0.000489331936437036,0.04
"Cuttlefish",6,"10%–15%",8.53271442711355e-06,0.000163110645479012,0.02
"Cuttlefish",6,"30%–35%",8.53271442711355e-06,4.39144045520417e-05,0
"Cuttlefish",6,"35%–40%",1.70654288542271e-05,2.50939454583095e-05,0
"Cuttlefish",6,"90%–95%",1.70654288542271e-05,6.27348636457739e-06,0
"Cuttlefish",6,"95%–100%",0.000162121574115158,5.64613772811965e-05,-0.01
"Cuttlefish",7,"95%–100%",3.41308577084542e-05,2.50939454583095e-05,0
"Cuttlefish",8,"0%–5%",8.53271442711355e-06,0,0
"PPanGGOLiN",1,"0%–5%",0.00351815367295243,0.043046357615894,3.95
"PPanGGOLiN",1,"5%–10%",0.000140726146918097,0.00344922737306843,0.33
"PPanGGOLiN",1,"35%–40%",0.000140726146918097,0.000137969094922737,0
"PPanGGOLiN",1,"95%–100%",0.000140726146918097,0.00827814569536424,0.81
"PPanGGOLiN",2,"0%–5%",0.200112580917534,0.173013245033113,-2.71
"PPanGGOLiN",2,"5%–10%",0.0171685899240079,0.0149006622516556,-0.23
"PPanGGOLiN",2,"10%–15%",0.00745848578665916,0.0108995584988962,0.34
"PPanGGOLiN",2,"15%–20%",0.00211089220377146,0.00262141280353201,0.05
"PPanGGOLiN",2,"20%–25%",0.00281452293836195,0.0033112582781457,0.05
"PPanGGOLiN",2,"25%–30%",0.00591049817056009,0.00662251655629139,0.07
"PPanGGOLiN",2,"30%–35%",0.00928792569659443,0.0126931567328918,0.34
"PPanGGOLiN",2,"35%–40%",0.00436251055446102,0.0022075055187638,-0.22
"PPanGGOLiN",2,"40%–45%",0.000422178440754292,0.000965783664459161,0.05
"PPanGGOLiN",2,"45%–50%",0.00126653532226288,0.00206953642384106,0.08
"PPanGGOLiN",2,"50%–55%",0.000281452293836195,0.00137969094922737,0.11
"PPanGGOLiN",2,"55%–60%",0.00351815367295243,0.00358719646799117,0.01
"PPanGGOLiN",2,"60%–65%",0.00253307064452575,0.00234547461368653,-0.02
"PPanGGOLiN",2,"65%–70%",0.00253307064452575,0.00303532008830022,0.05
"PPanGGOLiN",2,"70%–75%",0.00323670137911624,0.00303532008830022,-0.02
"PPanGGOLiN",2,"75%–80%",0.000281452293836195,0.00262141280353201,0.23
"PPanGGOLiN",2,"80%–85%",0.00056290458767239,0.00275938189845475,0.22
"PPanGGOLiN",2,"85%–90%",0.00225161835068956,0.0070364238410596,0.48
"PPanGGOLiN",2,"90%–95%",0.00928792569659443,0.0182119205298013,0.89
"PPanGGOLiN",2,"95%–100%",0.489726991274979,0.479442604856512,-1.03
"PPanGGOLiN",3,"0%–5%",0.0250492541514213,0.0229028697571744,-0.21
"PPanGGOLiN",3,"5%–10%",0.00379960596678863,0.00262141280353201,-0.12
"PPanGGOLiN",3,"10%–15%",0.00154798761609907,0.00151766004415011,0
"PPanGGOLiN",3,"15%–20%",0.00056290458767239,0.00193156732891832,0.14
"PPanGGOLiN",3,"20%–25%",0.00056290458767239,0.000827814569536424,0.03
"PPanGGOLiN",3,"25%–30%",0.00182943990993527,0.00165562913907285,-0.02
"PPanGGOLiN",3,"30%–35%",0.00197016605685336,0.00234547461368653,0.04
"PPanGGOLiN",3,"35%–40%",0.00154798761609907,0.000689845474613687,-0.09
"PPanGGOLiN",3,"40%–45%",0.000140726146918097,0.000137969094922737,0
"PPanGGOLiN",3,"45%–50%",0.000140726146918097,0.000689845474613687,0.05
"PPanGGOLiN",3,"55%–60%",0.000985083028426682,0.00124172185430464,0.03
"PPanGGOLiN",3,"60%–65%",0.00056290458767239,0.000413907284768212,-0.01
"PPanGGOLiN",3,"65%–70%",0.000422178440754292,0.000827814569536424,0.04
"PPanGGOLiN",3,"70%–75%",0.00056290458767239,0.000689845474613687,0.01
"PPanGGOLiN",3,"80%–85%",0.000140726146918097,0.000413907284768212,0.03
"PPanGGOLiN",3,"85%–90%",0.00112580917534478,0.00179359823399559,0.07
"PPanGGOLiN",3,"90%–95%",0.00211089220377146,0.00275938189845475,0.06
"PPanGGOLiN",3,"95%–100%",0.0778215592457079,0.065121412803532,-1.27
"PPanGGOLiN",4,"0%–5%",0.0104137348719392,0.00896799116997793,-0.14
"PPanGGOLiN",4,"5%–10%",0.00140726146918097,0.000965783664459161,-0.04
"PPanGGOLiN",4,"10%–15%",0.000844356881508584,0.0011037527593819,0.03
"PPanGGOLiN",4,"15%–20%",0.000281452293836195,0.000413907284768212,0.01
"PPanGGOLiN",4,"20%–25%",0.000140726146918097,0.000275938189845475,0.01
"PPanGGOLiN",4,"25%–30%",0.00126653532226288,0.000965783664459161,-0.03
"PPanGGOLiN",4,"30%–35%",0.00168871376301717,0.000827814569536424,-0.09
