"Tool","degree_bin","frac_bin","count","total_deg","count_norm","total_nodes","count_total_norm"
"Cuttlefish",2,"90%–95%",1824,65325,0.0279219288174512,117196,0.0155636711150551
"Cuttlefish",2,"95%–100%",15370,65325,0.235285112897053,117196,0.131147820744735
"Cuttlefish",3,"0%–5%",5011,24814,0.201942451841702,117196,0.042757431994266
"Cuttlefish",3,"5%–10%",1888,24814,0.0760860804384622,117196,0.0161097648383904
"Cuttlefish",3,"10%–15%",530,24814,0.0213589102925768,117196,0.00452233864637018
"Cuttlefish",3,"15%–20%",312,24814,0.0125735471911018,117196,0.00266220690125943
"Cuttlefish",3,"20%–25%",290,24814,0.0116869509148062,117196,0.00247448718386293
"Cuttlefish",3,"25%–30%",898,24814,0.0361892480051584,117196,0.00766237755554797
"Cuttlefish",3,"30%–35%",1070,24814,0.0431208188925606,117196,0.0091300044370115
"Cuttlefish",3,"35%–40%",371,24814,0.0149512372048037,117196,0.00316563705245913
"Cuttlefish",3,"40%–45%",152,24814,0.00612557427258806,117196,0.00129697259292126
"Cuttlefish",3,"45%–50%",244,24814,0.00983315870073346,117196,0.00208198232021571
"Cuttlefish",3,"50%–55%",188,24814,0.00757636817925365,117196,0.00160415031229735
"Cuttlefish",3,"55%–60%",425,24814,0.0171274280648021,117196,0.00362640363152326
"Cuttlefish",3,"60%–65%",162,24814,0.00652857257999516,117196,0.0013822997371924
"Cuttlefish",3,"65%–70%",316,24814,0.0127347465140646,117196,0.00269633775896788
"Cuttlefish",3,"70%–75%",494,24814,0.0199081163859112,117196,0.0042151609269941
"Cuttlefish",3,"75%–80%",148,24814,0.00596437494962521,117196,0.00126284173521281
"Cuttlefish",3,"80%–85%",202,24814,0.0081405658096236,117196,0.00172360831427694
"Cuttlefish",3,"85%–90%",497,24814,0.0200290158781333,117196,0.00424075907027544
"Cuttlefish",3,"90%–95%",1486,24814,0.0598855484806964,117196,0.0126796136386907
"Cuttlefish",3,"95%–100%",10130,24814,0.408237285403401,117196,0.0864363971466603
"Cuttlefish",4,"0%–5%",3285,26297,0.124919192303305,117196,0.028029966893068
"Cuttlefish",4,"5%–10%",1335,26297,0.0507662471004297,117196,0.0113911737601966
"Cuttlefish",4,"10%–15%",412,26297,0.0156671863710689,117196,0.00351547834397078
"Cuttlefish",4,"15%–20%",196,26297,0.00745332167167357,117196,0.00167241202771426
"Cuttlefish",4,"20%–25%",112,26297,0.00425904095524204,117196,0.000955664015836718
"Cuttlefish",4,"25%–30%",354,26297,0.0134616115906757,117196,0.0030205809071982
"Cuttlefish",4,"30%–35%",1051,26297,0.0399665361067802,117196,0.00896788286289634
"Cuttlefish",4,"35%–40%",411,26297,0.0156291592196829,117196,0.00350694562954367
"Cuttlefish",4,"40%–45%",48,26297,0.0018253032665323,117196,0.000409570292501451
"Cuttlefish",4,"45%–50%",104,26297,0.00395482374415333,117196,0.00088740230041981
"Cuttlefish",4,"50%–55%",56,26297,0.00212952047762102,117196,0.000477832007918359
"Cuttlefish",4,"55%–60%",409,26297,0.0155531049169107,117196,0.00348988020068944
"Cuttlefish",4,"60%–65%",104,26297,0.00395482374415333,117196,0.00088740230041981
"Cuttlefish",4,"65%–70%",160,26297,0.00608434422177435,117196,0.00136523430833817
"Cuttlefish",4,"70%–75%",240,26297,0.00912651633266152,117196,0.00204785146250725
"Cuttlefish",4,"75%–80%",44,26297,0.00167319466098795,117196,0.000375439434792996
"Cuttlefish",4,"80%–85%",89,26297,0.00338441647336198,117196,0.000759411584013106
"Cuttlefish",4,"85%–90%",234,26297,0.00889835342434498,117196,0.00199665517594457
"Cuttlefish",4,"90%–95%",898,26297,0.0341483819447085,117196,0.00766237755554797
"Cuttlefish",4,"95%–100%",16755,26297,0.637144921473932,117196,0.142965630226288
"Cuttlefish",5,"0%–5%",63,702,0.0897435897435897,117196,0.000537561008908154
"Cuttlefish",5,"5%–10%",66,702,0.094017094017094,117196,0.000563159152189495
"Cuttlefish",5,"10%–15%",31,702,0.0441595441595442,117196,0.00026451414724052
"Cuttlefish",5,"15%–20%",14,702,0.0199430199430199,117196,0.00011945800197959
"Cuttlefish",5,"20%–25%",4,702,0.0056980056980057,117196,3.41308577084542e-05
"Cuttlefish",5,"25%–30%",6,702,0.00854700854700855,117196,5.11962865626813e-05
"Cuttlefish",5,"30%–35%",37,702,0.0527065527065527,117196,0.000315710433803201
"Cuttlefish",5,"35%–40%",35,702,0.0498575498575499,117196,0.000298645004948974
"Cuttlefish",5,"45%–50%",12,702,0.0170940170940171,117196,0.000102392573125363
"Cuttlefish",5,"50%–55%",3,702,0.00427350427350427,117196,2.55981432813407e-05
"Cuttlefish",5,"55%–60%",11,702,0.0156695156695157,117196,9.38598586982491e-05
"Cuttlefish",5,"60%–65%",5,702,0.00712250712250712,117196,4.26635721355678e-05
"Cuttlefish",5,"65%–70%",13,702,0.0185185185185185,117196,0.000110925287552476
"Cuttlefish",5,"70%–75%",11,702,0.0156695156695157,117196,9.38598586982491e-05
"Cuttlefish",5,"75%–80%",5,702,0.00712250712250712,117196,4.26635721355678e-05
"Cuttlefish",5,"80%–85%",7,702,0.00997150997150997,117196,5.97290009897949e-05
"Cuttlefish",5,"85%–90%",15,702,0.0213675213675214,117196,0.000127990716406703
"Cuttlefish",5,"90%–95%",34,702,0.0484330484330484,117196,0.000290112290521861
"Cuttlefish",5,"95%–100%",330,702,0.47008547008547,117196,0.00281579576094747
"Cuttlefish",6,"0%–5%",5,35,0.142857142857143,117196,4.26635721355678e-05
"Cuttlefish",6,"5%–10%",5,35,0.142857142857143,117196,4.26635721355678e-05
"Cuttlefish",6,"10%–15%",1,35,0.0285714285714286,117196,8.53271442711355e-06
"Cuttlefish",6,"30%–35%",1,35,0.0285714285714286,117196,8.53271442711355e-06
"Cuttlefish",6,"35%–40%",2,35,0.0571428571428571,117196,1.70654288542271e-05
"Cuttlefish",6,"90%–95%",2,35,0.0571428571428571,117196,1.70654288542271e-05
"Cuttlefish",6,"95%–100%",19,35,0.542857142857143,117196,0.000162121574115158
"Cuttlefish",7,"95%–100%",4,4,1,117196,3.41308577084542e-05
"Cuttlefish",8,"0%–5%",1,1,1,117196,8.53271442711355e-06
"PPanGGOLiN",1,"0%–5%",25,28,0.892857142857143,7106,0.00351815367295243
"PPanGGOLiN",1,"5%–10%",1,28,0.0357142857142857,7106,0.000140726146918097
"PPanGGOLiN",1,"35%–40%",1,28,0.0357142857142857,7106,0.000140726146918097
"PPanGGOLiN",1,"95%–100%",1,28,0.0357142857142857,7106,0.000140726146918097
"PPanGGOLiN",2,"0%–5%",1422,5437,0.26154129115321,7106,0.200112580917534
"PPanGGOLiN",2,"5%–10%",122,5437,0.0224388449512599,7106,0.0171685899240079
"PPanGGOLiN",2,"10%–15%",53,5437,0.00974802280669487,7106,0.00745848578665916
"PPanGGOLiN",2,"15%–20%",15,5437,0.00275887437925326,7106,0.00211089220377146
"PPanGGOLiN",2,"20%–25%",20,5437,0.00367849917233769,7106,0.00281452293836195
"PPanGGOLiN",2,"25%–30%",42,5437,0.00772484826190914,7106,0.00591049817056009
"PPanGGOLiN",2,"30%–35%",66,5437,0.0121390472687144,7106,0.00928792569659443
"PPanGGOLiN",2,"35%–40%",31,5437,0.00570167371712341,7106,0.00436251055446102
"PPanGGOLiN",2,"40%–45%",3,5437,0.000551774875850653,7106,0.000422178440754292
"PPanGGOLiN",2,"45%–50%",9,5437,0.00165532462755196,7106,0.00126653532226288
"PPanGGOLiN",2,"50%–55%",2,5437,0.000367849917233769,7106,0.000281452293836195
"PPanGGOLiN",2,"55%–60%",25,5437,0.00459812396542211,7106,0.00351815367295243
"PPanGGOLiN",2,"60%–65%",18,5437,0.00331064925510392,7106,0.00253307064452575
"PPanGGOLiN",2,"65%–70%",18,5437,0.00331064925510392,7106,0.00253307064452575
"PPanGGOLiN",2,"70%–75%",23,5437,0.00423027404818834,7106,0.00323670137911624
"PPanGGOLiN",2,"75%–80%",2,5437,0.000367849917233769,7106,0.000281452293836195
"PPanGGOLiN",2,"80%–85%",4,5437,0.000735699834467537,7106,0.00056290458767239
"PPanGGOLiN",2,"85%–90%",16,5437,0.00294279933787015,7106,0.00225161835068956
"PPanGGOLiN",2,"90%–95%",66,5437,0.0121390472687144,7106,0.00928792569659443
"PPanGGOLiN",2,"95%–100%",3480,5437,0.640058855986757,7106,0.489726991274979
"PPanGGOLiN",3,"0%–5%",178,859,0.207217694994179,7106,0.0250492541514213
"PPanGGOLiN",3,"5%–10%",27,859,0.0314318975552969,7106,0.00379960596678863
"PPanGGOLiN",3,"10%–15%",11,859,0.0128055878928987,7106,0.00154798761609907
"PPanGGOLiN",3,"15%–20%",4,859,0.00465657741559953,7106,0.00056290458767239
"PPanGGOLiN",3,"20%–25%",4,859,0.00465657741559953,7106,0.00056290458767239
"PPanGGOLiN",3,"25%–30%",13,859,0.0151338766006985,7106,0.00182943990993527
"PPanGGOLiN",3,"30%–35%",14,859,0.0162980209545984,7106,0.00197016605685336
"PPanGGOLiN",3,"35%–40%",11,859,0.0128055878928987,7106,0.00154798761609907
"PPanGGOLiN",3,"40%–45%",1,859,0.00116414435389988,7106,0.000140726146918097
"PPanGGOLiN",3,"45%–50%",1,859,0.00116414435389988,7106,0.000140726146918097
"PPanGGOLiN",3,"55%–60%",7,859,0.00814901047729918,7106,0.000985083028426682
"PPanGGOLiN",3,"60%–65%",4,859,0.00465657741559953,7106,0.00056290458767239
"PPanGGOLiN",3,"65%–70%",3,859,0.00349243306169965,7106,0.000422178440754292
"PPanGGOLiN",3,"70%–75%",4,859,0.00465657741559953,7106,0.00056290458767239
"PPanGGOLiN",3,"80%–85%",1,859,0.00116414435389988,7106,0.000140726146918097
"PPanGGOLiN",3,"85%–90%",8,859,0.00931315483119907,7106,0.00112580917534478
