"Tool","degree_bin","frac_bin","count","total_nodes","count_norm"
"PPanGGOLiN",1,"35%–40%",1,7106,0.000140726146918097
"PPanGGOLiN",1,"95%–100%",1,7106,0.000140726146918097
"PPanGGOLiN",2,"0%–5%",1422,7106,0.200112580917534
"PPanGGOLiN",2,"5%–10%",122,7106,0.0171685899240079
"PPanGGOLiN",2,"10%–15%",53,7106,0.00745848578665916
"PPanGGOLiN",2,"15%–20%",15,7106,0.00211089220377146
"PPanGGOLiN",2,"20%–25%",20,7106,0.00281452293836195
"PPanGGOLiN",2,"25%–30%",42,7106,0.00591049817056009
"PPanGGOLiN",2,"30%–35%",66,7106,0.00928792569659443
"PPanGGOLiN",2,"35%–40%",31,7106,0.00436251055446102
"PPanGGOLiN",2,"40%–45%",3,7106,0.000422178440754292
"PPanGGOLiN",2,"45%–50%",9,7106,0.00126653532226288
"PPanGGOLiN",2,"50%–55%",2,7106,0.000281452293836195
"PPanGGOLiN",2,"55%–60%",25,7106,0.00351815367295243
"PPanGGOLiN",2,"60%–65%",18,7106,0.00253307064452575
"PPanGGOLiN",2,"65%–70%",18,7106,0.00253307064452575
"PPanGGOLiN",2,"70%–75%",23,7106,0.00323670137911624
"PPanGGOLiN",2,"75%–80%",2,7106,0.000281452293836195
"PPanGGOLiN",2,"80%–85%",4,7106,0.00056290458767239
"PPanGGOLiN",2,"85%–90%",16,7106,0.00225161835068956
"PPanGGOLiN",2,"90%–95%",66,7106,0.00928792569659443
"PPanGGOLiN",2,"95%–100%",3480,7106,0.489726991274979
"PPanGGOLiN",3,"0%–5%",178,7106,0.0250492541514213
"PPanGGOLiN",3,"5%–10%",27,7106,0.00379960596678863
"PPanGGOLiN",3,"10%–15%",11,7106,0.00154798761609907
"PPanGGOLiN",3,"15%–20%",4,7106,0.00056290458767239
"PPanGGOLiN",3,"20%–25%",4,7106,0.00056290458767239
"PPanGGOLiN",3,"25%–30%",13,7106,0.00182943990993527
"PPanGGOLiN",3,"30%–35%",14,7106,0.00197016605685336
"PPanGGOLiN",3,"35%–40%",11,7106,0.00154798761609907
"PPanGGOLiN",3,"40%–45%",1,7106,0.000140726146918097
"PPanGGOLiN",3,"45%–50%",1,7106,0.000140726146918097
"PPanGGOLiN",3,"55%–60%",7,7106,0.000985083028426682
"PPanGGOLiN",3,"60%–65%",4,7106,0.00056290458767239
"PPanGGOLiN",3,"65%–70%",3,7106,0.000422178440754292
"PPanGGOLiN",3,"70%–75%",4,7106,0.00056290458767239
"PPanGGOLiN",3,"80%–85%",1,7106,0.000140726146918097
"PPanGGOLiN",3,"85%–90%",8,7106,0.00112580917534478
"PPanGGOLiN",3,"90%–95%",15,7106,0.00211089220377146
"PPanGGOLiN",3,"95%–100%",553,7106,0.0778215592457079
"PPanGGOLiN",4,"0%–5%",74,7106,0.0104137348719392
"PPanGGOLiN",4,"5%–10%",10,7106,0.00140726146918097
"PPanGGOLiN",4,"10%–15%",6,7106,0.000844356881508584
"PPanGGOLiN",4,"15%–20%",2,7106,0.000281452293836195
"PPanGGOLiN",4,"20%–25%",1,7106,0.000140726146918097
"PPanGGOLiN",4,"25%–30%",9,7106,0.00126653532226288
"PPanGGOLiN",4,"30%–35%",12,7106,0.00168871376301717
